 Vsweep	 Cdata
-10	3.58496E-11
-9.6	3.58441E-11
-9.2	3.58356E-11
-8.8	3.582E-11
-8.4	3.58025E-11
-8	3.57675E-11
-7.6	3.56923E-11
-7.2	3.54773E-11
-6.8	3.46865E-11
-6.4	3.2279E-11
-6	2.88582E-11
-5.6	2.76653E-11
-5.2	2.757E-11
-4.8	2.76084E-11
-4.4	2.77166E-11
-4	2.78613E-11
-3.6	2.80114E-11
-3.2	2.81466E-11
-2.8	2.82343E-11
-2.4	2.82701E-11
-2	2.82813E-11
-1.6	2.8292E-11
-1.2	2.83055E-11
-0.799999999999999	2.83448E-11
-0.399999999999999	2.85338E-11
0	2.93929E-11
0.4	3.09806E-11
0.800000000000001	3.30937E-11
1.2	3.43685E-11
1.6	3.49361E-11
2	3.52142E-11
2.4	3.53726E-11
2.8	3.5475E-11
3.2	3.5546E-11
3.6	3.5598E-11
4	3.5635E-11
4.4	3.56665E-11
4.8	3.56921E-11
5.2	3.57104E-11
5.6	3.57298E-11
6	3.57422E-11
6.4	3.57575E-11
6.8	3.57687E-11
7.2	3.57765E-11
7.6	3.57857E-11
8	3.57936E-11
8.4	3.57985E-11
8.8	3.58052E-11
9.2	3.58111E-11
9.6	3.58152E-11
10	3.58192E-11
