 Vsweep	 Cdata
-10	3.58672E-11
-9.6	3.58612E-11
-9.2	3.58554E-11
-8.8	3.58463E-11
-8.4	3.58384E-11
-8	3.58275E-11
-7.6	3.58157E-11
-7.2	3.58006E-11
-6.8	3.57855E-11
-6.4	3.57679E-11
-6	3.57439E-11
-5.6	3.57174E-11
-5.2	3.56845E-11
-4.8	3.56446E-11
-4.4	3.56101E-11
-4	3.55774E-11
-3.6	3.55497E-11
-3.2	3.55244E-11
-2.8	3.54896E-11
-2.4	3.54503E-11
-2	3.53834E-11
-1.6	3.52838E-11
-1.2	3.50976E-11
-0.799999999999999	3.46714E-11
-0.399999999999999	3.30646E-11
0	3.15805E-11
0.4	3.33653E-11
0.800000000000001	3.44591E-11
1.2	3.4982E-11
1.6	3.52463E-11
2	3.53983E-11
2.4	3.54923E-11
2.8	3.55614E-11
3.2	3.5608E-11
3.6	3.56489E-11
4	3.56789E-11
4.4	3.57028E-11
4.8	3.57218E-11
5.2	3.57383E-11
5.6	3.57522E-11
6	3.57652E-11
6.4	3.57753E-11
6.8	3.57856E-11
7.2	3.57938E-11
7.6	3.58006E-11
8	3.58083E-11
8.4	3.58135E-11
8.8	3.58189E-11
9.2	3.58245E-11
9.6	3.58277E-11
10	3.58325E-11
